sex,diversity,legacy,SAT,GPA,extracurricular,TOEFL,AP,letterScore,subject,group,C_SAT,C_GPA,C_extracurricular,C_TOEFL,C_AP,C_letterScore,C_subject,admission
M,W,Y,1509.398,1.573,2,48.722,32,0.352,1,MWY0000100,0,0,0,0,1,0,0,N
M,O,Y,853.885,2.403,6,41.644,3,0.602,4,MOY0010001,0,0,1,0,0,0,1,N
M,A,N,937.916,2.147,9,70.826,3,0.411,4,MAN0010001,0,0,1,0,0,0,1,N
M,W,N,1383.703,1.578,5,72.533,9,0.36,0,MWN0010100,0,0,1,0,1,0,0,Y
F,O,N,1226.045,3.316,7,58.988,4,0.296,3,FON0110001,0,1,1,0,0,0,1,Y
M,W,Y,1352.033,2.865,9,94.237,3,0.793,3,MWY0010001,0,0,1,0,0,0,1,Y
F,W,N,487.147,2.825,6,110.637,6,0.543,0,FWN0011000,0,0,1,1,0,0,0,Y
M,W,N,931.035,2.237,5,96.957,5,0.688,1,MWN0010000,0,0,1,0,0,0,0,Y
M,H,Y,1342.013,1.538,6,91.461,2,0.869,2,MHY0010000,0,0,1,0,0,0,0,Y
F,O,N,1012.376,1.99,4,45.822,4,0.796,3,FON0000001,0,0,0,0,0,0,1,N
M,H,N,864.539,1.828,2,109.772,7,0.429,2,MHN0001000,0,0,0,1,0,0,0,N
M,B,N,887.522,3.351,4,91.048,5,0.731,2,MBN0100000,0,1,0,0,0,0,0,N
M,O,N,1258.352,1.858,1,24.348,0,0.189,4,MON0000001,0,0,0,0,0,0,1,Y
M,I,N,1145.627,2.517,8,70.572,7,0.42,3,MIN0010001,0,0,1,0,0,0,1,N
F,W,N,1145.337,2.378,6,105.354,4,0.295,0,FWN0011000,0,0,1,1,0,0,0,N
F,W,N,572.084,1.598,3,97.344,2,0.632,4,FWN0000001,0,0,0,0,0,0,1,Y
F,H,N,1266.67,2.768,8,85.781,9,0.776,2,FHN0010100,0,0,1,0,1,0,0,N
M,I,N,553.939,2.661,0,103.161,2,0.062,3,MIN0001001,0,0,0,1,0,0,1,N
M,W,N,889.216,2.149,7,111.642,2,0.916,3,MWN0011011,0,0,1,1,0,1,1,N
M,A,Y,599.354,2.148,1,63.97,1,0.75,2,MAY0000000,0,0,0,0,0,0,0,Y
M,A,N,586.552,3.263,3,68.101,25,0.274,0,MAN0100100,0,1,0,0,1,0,0,N
M,O,N,918.404,2.321,3,64.082,0,0.267,1,MON0000000,0,0,0,0,0,0,0,N
F,W,N,1480.021,3.609,1,68.955,1,0.969,4,FWN0100011,0,1,0,0,0,1,1,N
M,H,N,1155.714,1.675,5,97.195,9,0.165,4,MHN0010101,0,0,1,0,1,0,1,Y
F,W,N,949.874,2.422,4,110.437,7,0.779,1,FWN0001000,0,0,0,1,0,0,0,N
M,A,N,1131.675,2.388,8,72.317,6,0.25,4,MAN0010001,0,0,1,0,0,0,1,N
F,W,N,827.856,2.117,6,75.432,8,0.018,3,FWN0010101,0,0,1,0,1,0,1,Y
M,W,N,592.395,2.335,9,62.154,4,0.91,1,MWN0010010,0,0,1,0,0,1,0,Y
M,B,N,1247.14,2.502,9,87.522,6,0.055,3,MBN0010001,0,0,1,0,0,0,1,Y
F,A,N,1222.105,2.852,8,73.367,7,0.427,1,FAN0010000,0,0,1,0,0,0,0,N
F,B,N,652.8,2.886,4,84.195,6,0.612,3,FBN0000001,0,0,0,0,0,0,1,Y
M,W,Y,1201.114,2.411,9,45.655,0,0.52,2,MWY0010000,0,0,1,0,0,0,0,Y
F,W,N,1271.656,2.866,2,43.39,4,0.732,0,FWN0000000,0,0,0,0,0,0,0,N
M,W,N,749.081,1.009,5,113.158,9,0.055,3,MWN0011101,0,0,1,1,1,0,1,N
F,W,N,1035.209,4.331,1,80.019,2,0.251,4,FWN0100001,0,1,0,0,0,0,1,N
M,O,Y,1345.959,2.963,1,61.998,6,0.588,2,MOY0000000,0,0,0,0,0,0,0,N
