diversity,TOEFL,admission
O,78.349,N
White,99.008,N
White,94.657,N
O,74.638,Y
I,104.883,N
White,108.959,N
I,101.788,Y
White,88.201,N
White,79.292,N
H,100.545,N
White,85.968,Y
O,102.224,Y
O,92.083,Y
White,99.766,N
A,93.564,N
A,97.066,N
A,90.105,N
White,107.859,Y
White,91.269,Y
White,94.02,Y
White,108.832,Y
White,76.522,N
O,77.295,Y
White,99.694,Y
A,78.269,Y
White,109.436,N
A,85.864,N
White,82.525,N
O,109.229,N
I,104.805,Y
B,108.676,Y
White,99.06,Y
O,81.388,Y
O,109.101,Y
A,87.32,N
White,98.025,N
White,99.473,Y
White,88.45,Y
White,96.141,N
White,99.222,Y
H,93.764,N
I,79.006,Y
White,92.982,Y
A,103.264,Y
White,83.054,Y
White,88.504,Y
B,85.648,N
A,108.493,Y
H,96.723,Y
H,94.075,N
O,82.301,Y
I,95.392,N
White,83.257,Y
A,90.318,N
B,83.642,Y
A,96.764,Y
White,95.766,N
B,87.917,N
O,93.96,Y
B,79.069,N
A,75.087,N
A,94.394,N
White,91.667,N
A,96.35,Y
A,113.831,Y
H,99.445,Y
White,80.872,Y
A,101.17,Y
White,76.841,N
A,85.384,N
White,89.318,N
O,107.133,N
White,82.552,N
White,81.736,N
White,89.015,Y
A,83.365,N
B,101.266,Y
A,79.201,N
B,78.525,N
A,85.622,N
H,85.02,Y
I,109.295,N
A,99.494,N
White,90.876,Y
O,77.746,Y
B,98.444,Y
O,79.998,Y
A,74.552,N
O,101.88,N
White,93.169,N
H,99.209,N
White,93.187,N
A,98.568,Y
White,83.49,Y
B,79.658,N
A,96.816,N
O,81.966,N
A,83.105,Y
White,85.445,N
A,90.175,Y
