American Indian Precision,American Indian Recall,American Indian AUC,American Indian FPR,American Indian FNR,American Indian Selection Rate,Asian Precision,Asian Recall,Asian AUC,Asian FPR,Asian FNR,Asian Selection Rate,Black Precision,Black Recall,Black AUC,Black FPR,Black FNR,Black Selection Rate,Other Race Precision,Other Race Recall,Other Race AUC,Other Race FPR,Other Race FNR,Other Race Selection Rate,Pacific Islander Precision,Pacific Islander Recall,Pacific Islander AUC,Pacific Islander FPR,Pacific Islander FNR,Pacific Islander Selection Rate,White Precision,White Recall,White AUC,White FPR,White FNR,White Selection Rate,Female Precision,Female Recall,Female AUC,Female FPR,Female FNR,Female Selection Rate,Male Precision,Male Recall,Male AUC,Male FPR,Male FNR,Male Selection Rate,Other Sex Precision,Other Sex Recall,Other Sex AUC,Other Sex FPR,Other Sex FNR,Other Sex Selection Rate,Income 0 Precision,Income 0 Recall,Income 0 AUC,Income 0 FPR,Income 0 FNR,Income 0 Selection Rate,Income 25000 Precision,Income 25000 Recall,Income 25000 AUC,Income 25000 FPR,Income 25000 FNR,Income 25000 Selection Rate,Income 50000 Precision,Income 50000 Recall,Income 50000 AUC,Income 50000 FPR,Income 50000 FNR,Income 50000 Selection Rate,Income 75000 Precision,Income 75000 Recall,Income 75000 AUC,Income 75000 FPR,Income 75000 FNR,Income 75000 Selection Rate,Income 100000 Precision,Income 100000 Recall,Income 100000 AUC,Income 100000 FPR,Income 100000 FNR,Income 100000 Selection Rate,Income 150000 Precision,Income 150000 Recall,Income 150000 AUC,Income 150000 FPR,Income 150000 FNR,Income 150000 Selection Rate,Income 200000 Precision,Income 200000 Recall,Income 200000 AUC,Income 200000 FPR,Income 200000 FNR,Income 200000 Selection Rate
0.9274,0.7444,0.8162,0.1121,0.2556,0.528,0.8253,0.7697,0.7875,0.1946,0.2303,0.5076,0.8688,0.6915,0.7708,0.15,0.3085,0.4692,0.8333,0.6599,0.7216,0.2167,0.3401,0.4921,0.8187,0.7447,0.7616,0.2214,0.2553,0.5213,0.8235,0.7692,0.7943,0.1807,0.2308,0.4885,0.8429,0.6939,0.7566,0.1808,0.3061,0.48,0.8227,0.7711,0.7896,0.1918,0.2289,0.5022,0.8844,0.7234,0.7791,0.1653,0.2766,0.5203,0.8462,0.6346,0.7362,0.1622,0.3654,0.4382,0.8255,0.7834,0.8125,0.1585,0.2166,0.4642,0.8374,0.7756,0.7824,0.2108,0.2244,0.5402,0.9048,0.7917,0.8261,0.1395,0.2083,0.5478,0.8559,0.6794,0.7502,0.1789,0.3206,0.4843,0.8936,0.6269,0.7493,0.1282,0.3731,0.4434,0.8525,0.8254,0.8002,0.225,0.1746,0.5922
0.9231,0.7464,0.8146,0.1171,0.2536,0.5281,0.8588,0.6822,0.7589,0.1644,0.3178,0.4722,0.8734,0.6935,0.7686,0.1562,0.3065,0.4832,0.9058,0.6614,0.7811,0.0992,0.3386,0.4312,0.795,0.7111,0.741,0.2292,0.2889,0.4969,0.8393,0.8246,0.8364,0.1517,0.1754,0.4814,0.8312,0.6845,0.7517,0.1812,0.3155,0.466,0.8348,0.7962,0.8097,0.1768,0.2038,0.5043,0.9344,0.6786,0.7944,0.0897,0.3214,0.4743,0.9259,0.7937,0.8533,0.087,0.2063,0.4954,0.8545,0.8011,0.8283,0.1446,0.1989,0.4825,0.8388,0.7179,0.7576,0.2028,0.2821,0.5093,0.9091,0.7407,0.8216,0.0976,0.2593,0.4632,0.8818,0.6721,0.7664,0.1393,0.3279,0.4628,0.8421,0.7059,0.7529,0.2,0.2941,0.5044,0.8537,0.7143,0.7874,0.1395,0.2857,0.4457
0.9091,0.7018,0.7879,0.126,0.2982,0.4958,0.7989,0.7056,0.7406,0.2244,0.2944,0.4929,0.8621,0.6983,0.774,0.1504,0.3017,0.4647,0.9,0.7031,0.7947,0.1136,0.2969,0.463,0.8371,0.7233,0.7466,0.2302,0.2767,0.5361,0.8,0.7953,0.7865,0.2222,0.2047,0.5247,0.8479,0.6805,0.7589,0.1626,0.3195,0.4585,0.8265,0.7678,0.7832,0.2014,0.2322,0.5159,0.875,0.7133,0.7689,0.1755,0.2867,0.5157,0.8163,0.8163,0.7928,0.2308,0.1837,0.5568,0.8293,0.7861,0.805,0.1761,0.2139,0.494,0.8509,0.7429,0.777,0.1889,0.2571,0.5169,0.8364,0.6667,0.7208,0.225,0.3333,0.5046,0.8567,0.6826,0.7539,0.1748,0.3174,0.482,0.8723,0.7193,0.7915,0.1364,0.2807,0.4653,0.8889,0.6667,0.7619,0.1429,0.3333,0.4737
0.9207,0.755,0.8317,0.0915,0.245,0.4795,0.8947,0.7217,0.7927,0.1364,0.2783,0.4971,0.8797,0.7092,0.7815,0.1462,0.2908,0.4847,0.8776,0.6973,0.781,0.1353,0.3027,0.4623,0.8457,0.7611,0.7886,0.1838,0.2389,0.5127,0.8119,0.8241,0.7895,0.2452,0.1759,0.5706,0.8426,0.6859,0.755,0.1759,0.3141,0.4709,0.8383,0.7756,0.7996,0.1765,0.2244,0.5007,0.9249,0.7748,0.8314,0.1121,0.2252,0.5364,0.8182,0.766,0.7854,0.1951,0.234,0.5,0.7898,0.8225,0.7934,0.2357,0.1775,0.5399,0.8992,0.7412,0.8093,0.1226,0.2588,0.4914,0.9286,0.7536,0.8242,0.1053,0.2464,0.5234,0.8798,0.7108,0.7818,0.1472,0.2892,0.4867,0.8814,0.7536,0.7796,0.1944,0.2464,0.5619,0.8889,0.7692,0.8291,0.1111,0.2308,0.4639
0.9211,0.7368,0.8184,0.1,0.2632,0.4903,0.8343,0.7449,0.7731,0.1986,0.2551,0.5117,0.858,0.7277,0.7811,0.1655,0.2723,0.4909,0.8438,0.6459,0.7324,0.1812,0.3541,0.4611,0.8294,0.7663,0.7858,0.1946,0.2337,0.5105,0.8171,0.7836,0.802,0.1796,0.2164,0.4852,0.821,0.7209,0.7618,0.1973,0.2791,0.4887,0.7987,0.75,0.775,0.2,0.25,0.4828,0.9202,0.7275,0.8088,0.1098,0.2725,0.5021,0.878,0.72,0.7886,0.1429,0.28,0.4824,0.8208,0.7933,0.8021,0.189,0.2067,0.5044,0.8436,0.7557,0.7864,0.183,0.2443,0.5074,0.7674,0.7174,0.7198,0.2778,0.2826,0.5244,0.875,0.6866,0.7661,0.1544,0.3134,0.4798,0.8,0.7442,0.7832,0.1778,0.2558,0.4545,0.8837,0.8085,0.8499,0.1087,0.1915,0.4624
0.869,0.7228,0.7705,0.1818,0.2772,0.5201,0.8303,0.6618,0.7302,0.2014,0.3382,0.4769,0.8516,0.7135,0.7722,0.1691,0.2865,0.4829,0.8848,0.6636,0.7604,0.1429,0.3364,0.4674,0.8562,0.744,0.7925,0.1591,0.256,0.4867,0.7755,0.8172,0.7799,0.2573,0.1828,0.549,0.8013,0.6758,0.7286,0.2186,0.3242,0.4774,0.8071,0.7749,0.7788,0.2174,0.2251,0.5185,0.9117,0.7064,0.7922,0.122,0.2936,0.4965,0.8333,0.7759,0.7961,0.1837,0.2241,0.5047,0.8045,0.8136,0.7967,0.2201,0.1864,0.5327,0.8549,0.7243,0.7744,0.1754,0.2757,0.498,0.8049,0.6111,0.7315,0.1481,0.3889,0.3796,0.8441,0.6916,0.7407,0.2101,0.3084,0.5096,0.8913,0.7069,0.7909,0.125,0.2931,0.4694,0.8958,0.6515,0.7676,0.1163,0.3485,0.4404
0.9162,0.7083,0.7968,0.1148,0.2917,0.4941,0.8229,0.7129,0.7488,0.2153,0.2871,0.5058,0.8904,0.7027,0.7987,0.1053,0.2973,0.4332,0.858,0.678,0.7648,0.1484,0.322,0.45,0.8776,0.75,0.8018,0.1463,0.25,0.4983,0.8171,0.8034,0.7921,0.2192,0.1966,0.5401,0.8552,0.6475,0.7518,0.1438,0.3525,0.4296,0.8185,0.7925,0.7979,0.1968,0.2075,0.5114,0.9104,0.736,0.8034,0.1292,0.264,0.518,0.8367,0.7193,0.7571,0.2051,0.2807,0.5104,0.8415,0.8415,0.8214,0.1986,0.1585,0.5562,0.8642,0.734,0.7813,0.1714,0.266,0.5077,0.8605,0.8043,0.8307,0.1429,0.1957,0.4886,0.8768,0.6681,0.7693,0.1295,0.3319,0.4418,0.8333,0.7292,0.7771,0.175,0.2708,0.4773,0.878,0.6667,0.7576,0.1515,0.3333,0.4713
0.9402,0.7621,0.8292,0.1038,0.2379,0.5526,0.767,0.7219,0.7312,0.2595,0.2781,0.5101,0.8702,0.6667,0.7751,0.1164,0.3333,0.4132,0.9028,0.6701,0.784,0.1022,0.3299,0.435,0.805,0.7399,0.7584,0.223,0.2601,0.5096,0.8075,0.7947,0.7927,0.2093,0.2053,0.5166,0.8274,0.6846,0.7595,0.1656,0.3154,0.4443,0.8163,0.7671,0.773,0.2211,0.2329,0.5277,0.8973,0.7315,0.7986,0.1344,0.2685,0.5023,0.8636,0.7755,0.8163,0.1429,0.2245,0.4835,0.8266,0.8171,0.8165,0.184,0.1829,0.5118,0.8239,0.7476,0.766,0.2155,0.2524,0.5211,0.7692,0.5882,0.6941,0.2,0.4118,0.4062,0.8856,0.6864,0.7777,0.1309,0.3136,0.4621,0.8125,0.6842,0.7398,0.2045,0.3158,0.4752,0.8654,0.7895,0.7918,0.2059,0.2105,0.5714
0.9274,0.7281,0.8049,0.1182,0.2719,0.5296,0.8266,0.6942,0.7477,0.1987,0.3058,0.4846,0.8707,0.7033,0.7818,0.1397,0.2967,0.4623,0.9097,0.6859,0.7922,0.1016,0.3141,0.4514,0.825,0.7253,0.764,0.1972,0.2747,0.4938,0.8398,0.7917,0.8004,0.1908,0.2083,0.5262,0.8567,0.7042,0.7753,0.1536,0.2958,0.4652,0.8218,0.7452,0.7746,0.196,0.2548,0.497,0.9174,0.7166,0.7961,0.1244,0.2834,0.5144,0.9038,0.8393,0.8628,0.1136,0.1607,0.52,0.8476,0.7853,0.8034,0.1786,0.2147,0.5174,0.8485,0.6914,0.7552,0.181,0.3086,0.4844,0.8182,0.8182,0.8049,0.2083,0.1818,0.534,0.8857,0.6874,0.7693,0.1487,0.3126,0.4861,0.8824,0.7031,0.7939,0.1154,0.2969,0.4397,0.875,0.7778,0.8222,0.1333,0.2222,0.4848
0.9,0.7418,0.8109,0.12,0.2582,0.4886,0.8596,0.7277,0.775,0.1778,0.2723,0.5074,0.9341,0.7647,0.8416,0.0815,0.2353,0.4926,0.8994,0.7114,0.7932,0.125,0.2886,0.4833,0.8421,0.7314,0.7812,0.169,0.2686,0.4795,0.8046,0.814,0.8215,0.1709,0.186,0.469,0.8738,0.7205,0.7978,0.125,0.2795,0.4499,0.8268,0.781,0.7899,0.2013,0.219,0.5211,0.9236,0.7398,0.8223,0.0952,0.2602,0.4876,0.8387,0.8667,0.8171,0.2326,0.1333,0.6019,0.8519,0.7931,0.8299,0.1333,0.2069,0.4576,0.8662,0.7304,0.7841,0.1622,0.2696,0.4972,0.9231,0.8136,0.8592,0.0952,0.1864,0.5149,0.9043,0.7156,0.8001,0.1154,0.2844,0.4778,0.7941,0.8182,0.8237,0.1707,0.1818,0.4595,0.7959,0.7091,0.7545,0.2,0.2909,0.4667
