American Indian Precision,American Indian Recall,American Indian AUC,American Indian FPR,American Indian FNR,American Indian Selection Rate,Asian Precision,Asian Recall,Asian AUC,Asian FPR,Asian FNR,Asian Selection Rate,Black Precision,Black Recall,Black AUC,Black FPR,Black FNR,Black Selection Rate,Other Race Precision,Other Race Recall,Other Race AUC,Other Race FPR,Other Race FNR,Other Race Selection Rate,Pacific Islander Precision,Pacific Islander Recall,Pacific Islander AUC,Pacific Islander FPR,Pacific Islander FNR,Pacific Islander Selection Rate,White Precision,White Recall,White AUC,White FPR,White FNR,White Selection Rate,Female Precision,Female Recall,Female AUC,Female FPR,Female FNR,Female Selection Rate,Male Precision,Male Recall,Male AUC,Male FPR,Male FNR,Male Selection Rate,Other Sex Precision,Other Sex Recall,Other Sex AUC,Other Sex FPR,Other Sex FNR,Other Sex Selection Rate,Income 0 Precision,Income 0 Recall,Income 0 AUC,Income 0 FPR,Income 0 FNR,Income 0 Selection Rate,Income 25000 Precision,Income 25000 Recall,Income 25000 AUC,Income 25000 FPR,Income 25000 FNR,Income 25000 Selection Rate,Income 50000 Precision,Income 50000 Recall,Income 50000 AUC,Income 50000 FPR,Income 50000 FNR,Income 50000 Selection Rate,Income 75000 Precision,Income 75000 Recall,Income 75000 AUC,Income 75000 FPR,Income 75000 FNR,Income 75000 Selection Rate,Income 100000 Precision,Income 100000 Recall,Income 100000 AUC,Income 100000 FPR,Income 100000 FNR,Income 100000 Selection Rate,Income 150000 Precision,Income 150000 Recall,Income 150000 AUC,Income 150000 FPR,Income 150000 FNR,Income 150000 Selection Rate,Income 200000 Precision,Income 200000 Recall,Income 200000 AUC,Income 200000 FPR,Income 200000 FNR,Income 200000 Selection Rate
0.559,0.973,0.5194,0.9342,0.027,0.9555,0.5943,0.5361,0.5232,0.4897,0.4639,0.5162,0.5631,0.9457,0.4975,0.9507,0.0543,0.9479,0.6436,0.9375,0.4909,0.9558,0.0625,0.9439,0.6133,0.4767,0.5063,0.464,0.5233,0.4717,0.72,0.0878,0.5212,0.0455,0.9122,0.0696,0.5937,0.6446,0.4974,0.6498,0.3554,0.6467,0.5952,0.455,0.5305,0.3939,0.545,0.4281,0.5942,0.8564,0.4924,0.8716,0.1436,0.8625,0.7115,0.5139,0.5865,0.3409,0.4861,0.4483,0.5714,0.1404,0.5045,0.1314,0.8596,0.1364,0.581,0.4851,0.4926,0.5,0.5149,0.4913,0.6,0.5625,0.5719,0.4186,0.4375,0.4945,0.5935,0.9605,0.501,0.9585,0.0395,0.9597,0.5769,0.7759,0.4951,0.7857,0.2241,0.78,0.5921,0.7377,0.4814,0.775,0.2623,0.7525
0.5508,0.9492,0.4922,0.9648,0.0508,0.9561,0.4804,0.4503,0.4345,0.5812,0.5497,0.51,0.5843,0.9327,0.4735,0.9857,0.0673,0.954,0.6078,0.9556,0.4909,0.9737,0.0444,0.9626,0.617,0.5686,0.5074,0.5538,0.4314,0.5629,0.5,0.0693,0.4886,0.0921,0.9307,0.0791,0.5721,0.6546,0.5009,0.6529,0.3454,0.6539,0.5544,0.4201,0.4629,0.4943,0.5799,0.4502,0.5771,0.8627,0.4987,0.8652,0.1373,0.8638,0.619,0.4333,0.4742,0.4848,0.5667,0.4516,0.5814,0.1295,0.4981,0.1333,0.8705,0.1311,0.557,0.5623,0.4833,0.5957,0.4377,0.5766,0.5,0.5098,0.4299,0.65,0.4902,0.5714,0.5662,0.9594,0.4924,0.9747,0.0406,0.966,0.6753,0.8387,0.5287,0.7812,0.1613,0.8191,0.5733,0.6719,0.4955,0.6809,0.3281,0.6757
0.6288,0.9404,0.4975,0.9453,0.0596,0.9422,0.5714,0.4873,0.473,0.5414,0.5127,0.5091,0.5683,0.9372,0.4964,0.9444,0.0628,0.9403,0.5457,0.9372,0.4817,0.9739,0.0628,0.9535,0.549,0.4746,0.4779,0.5188,0.5254,0.4935,0.7143,0.1005,0.5208,0.0588,0.8995,0.0836,0.5494,0.6257,0.433,0.7597,0.3743,0.6797,0.5724,0.4357,0.507,0.4218,0.5643,0.4296,0.6037,0.8732,0.5093,0.8545,0.1268,0.8657,0.5641,0.3438,0.4062,0.5312,0.6562,0.4062,0.6486,0.1395,0.5205,0.0985,0.8605,0.1217,0.56,0.5083,0.4876,0.533,0.4917,0.5189,0.6094,0.619,0.4307,0.7576,0.381,0.6667,0.5868,0.9612,0.49,0.9812,0.0388,0.9694,0.4935,0.6909,0.4475,0.7959,0.3091,0.7404,0.6061,0.7692,0.5023,0.7647,0.2308,0.7674
0.6166,0.9526,0.488,0.9766,0.0474,0.9617,0.558,0.5401,0.5216,0.4969,0.4599,0.5201,0.5909,0.9529,0.5063,0.9403,0.0471,0.9477,0.5681,0.9553,0.4997,0.9559,0.0447,0.9556,0.5357,0.4787,0.4776,0.5235,0.5213,0.4985,0.7,0.0648,0.5074,0.05,0.9352,0.0595,0.5749,0.6879,0.5251,0.6377,0.3121,0.6656,0.6032,0.4474,0.5101,0.4271,0.5526,0.4391,0.5759,0.8186,0.4434,0.9318,0.1814,0.8631,0.6531,0.4156,0.4781,0.4595,0.5844,0.4298,0.6364,0.104,0.4954,0.1132,0.896,0.1071,0.5797,0.5681,0.53,0.5082,0.4319,0.5413,0.6154,0.6154,0.5638,0.4878,0.3846,0.5591,0.5734,0.9746,0.5042,0.9662,0.0254,0.971,0.5469,0.6731,0.4446,0.7838,0.3269,0.7191,0.6133,0.8364,0.5366,0.7632,0.1636,0.8065
0.5899,0.9492,0.4784,0.9924,0.0508,0.9665,0.5698,0.4976,0.4795,0.5385,0.5024,0.5144,0.5681,0.9202,0.4945,0.9312,0.0798,0.9249,0.5409,0.9682,0.5063,0.9556,0.0318,0.9623,0.54,0.485,0.4961,0.4929,0.515,0.4886,0.5238,0.0545,0.4939,0.0667,0.9455,0.0597,0.5631,0.6579,0.5067,0.6445,0.3421,0.652,0.5523,0.4169,0.4788,0.4593,0.5831,0.4349,0.5699,0.8274,0.4866,0.8542,0.1726,0.8387,0.6383,0.4762,0.4639,0.5484,0.5238,0.5,0.5714,0.1514,0.5047,0.1419,0.8486,0.1471,0.5318,0.4781,0.4765,0.5252,0.5219,0.4991,0.614,0.5932,0.5408,0.5116,0.4068,0.5588,0.5736,0.97,0.4929,0.9843,0.03,0.9761,0.5068,0.6981,0.4305,0.8372,0.3019,0.7604,0.5455,0.72,0.4653,0.7895,0.28,0.75
0.5606,0.9364,0.4943,0.9478,0.0636,0.9414,0.6024,0.5076,0.523,0.4615,0.4924,0.4882,0.5199,0.9239,0.4651,0.9937,0.0761,0.9561,0.5541,0.9508,0.4859,0.979,0.0492,0.9632,0.6222,0.5258,0.5092,0.5075,0.4742,0.5187,0.6818,0.0688,0.5052,0.0583,0.9312,0.0651,0.5566,0.6193,0.4702,0.679,0.3807,0.6444,0.5333,0.399,0.462,0.475,0.601,0.4312,0.5853,0.8454,0.4814,0.8826,0.1546,0.8604,0.4565,0.375,0.4034,0.5682,0.625,0.46,0.6053,0.1095,0.4805,0.1485,0.8905,0.1222,0.6162,0.5255,0.5195,0.4866,0.4745,0.5099,0.6571,0.7541,0.6043,0.5455,0.2459,0.6667,0.531,0.953,0.4935,0.9659,0.047,0.959,0.6712,0.7424,0.4574,0.8276,0.2576,0.7684,0.5484,0.8947,0.5789,0.7368,0.1053,0.8158
0.5271,0.9296,0.4905,0.9486,0.0704,0.9385,0.5625,0.5077,0.4827,0.5423,0.4923,0.5223,0.5981,0.9505,0.501,0.9485,0.0495,0.9497,0.5932,0.9615,0.5192,0.9231,0.0385,0.9455,0.5849,0.5082,0.5041,0.5,0.4918,0.5048,0.7059,0.0609,0.5108,0.0394,0.9391,0.0525,0.5619,0.703,0.5031,0.6968,0.297,0.7003,0.588,0.3985,0.4925,0.4135,0.6015,0.4045,0.576,0.8703,0.4896,0.891,0.1297,0.8789,0.5,0.386,0.4685,0.449,0.614,0.4151,0.6809,0.1616,0.5208,0.12,0.8384,0.1455,0.5581,0.4885,0.4749,0.5388,0.5115,0.5095,0.629,0.7091,0.5351,0.6389,0.2909,0.6813,0.572,0.9814,0.5061,0.9692,0.0186,0.9761,0.5333,0.8,0.5023,0.7955,0.2,0.7979,0.6023,0.8281,0.5163,0.7955,0.1719,0.8148
0.5327,0.9372,0.4928,0.9515,0.0628,0.9438,0.5819,0.5074,0.5037,0.5,0.4926,0.5043,0.557,0.954,0.4953,0.9635,0.046,0.9582,0.5825,0.9326,0.4826,0.9675,0.0674,0.9468,0.6074,0.513,0.5159,0.4812,0.487,0.5,0.6957,0.0788,0.5164,0.0461,0.9212,0.0648,0.5363,0.6912,0.4963,0.6987,0.3088,0.6947,0.5662,0.3831,0.4867,0.4097,0.6169,0.3942,0.5964,0.8553,0.5097,0.8358,0.1447,0.8473,0.5,0.3966,0.4536,0.4894,0.6034,0.4381,0.5116,0.1196,0.4879,0.1438,0.8804,0.1303,0.5934,0.5209,0.5181,0.4847,0.4791,0.5056,0.6111,0.5156,0.4396,0.6364,0.4844,0.5567,0.5594,0.9775,0.4999,0.9778,0.0225,0.9776,0.6279,0.7941,0.5068,0.7805,0.2059,0.789,0.5432,0.7719,0.4923,0.7872,0.2281,0.7788
0.6115,0.9231,0.4696,0.9839,0.0769,0.9458,0.5966,0.5,0.5085,0.483,0.5,0.493,0.6398,0.9671,0.5442,0.8788,0.0329,0.9333,0.549,0.9438,0.496,0.9517,0.0562,0.9474,0.5664,0.4551,0.4979,0.4593,0.5449,0.4569,0.6,0.0773,0.5019,0.0735,0.9227,0.0758,0.5782,0.6818,0.5246,0.6327,0.3182,0.6602,0.6106,0.4312,0.5026,0.426,0.5688,0.4292,0.6033,0.8651,0.4991,0.8669,0.1349,0.8658,0.549,0.4828,0.5202,0.4423,0.5172,0.4636,0.6383,0.163,0.5186,0.1259,0.837,0.1473,0.5963,0.4894,0.4958,0.4977,0.5106,0.4927,0.5424,0.5517,0.4206,0.7105,0.4483,0.6146,0.5928,0.9683,0.5022,0.9639,0.0317,0.9665,0.6056,0.7679,0.5155,0.7368,0.2321,0.7553,0.6818,0.8333,0.5885,0.6562,0.1667,0.7674
0.5352,0.9563,0.5061,0.9441,0.0437,0.9506,0.6,0.5268,0.5151,0.4966,0.4732,0.5143,0.5625,0.973,0.507,0.9589,0.027,0.9668,0.6006,0.9635,0.4975,0.9685,0.0365,0.9655,0.5749,0.4974,0.4969,0.5035,0.5026,0.5,0.6154,0.0899,0.5102,0.0694,0.9101,0.0807,0.5651,0.6564,0.4932,0.6701,0.3436,0.6623,0.5641,0.44,0.5141,0.4118,0.56,0.4272,0.5814,0.8838,0.4935,0.8968,0.1162,0.8892,0.5294,0.4737,0.4968,0.48,0.5263,0.4766,0.64,0.1928,0.5272,0.1385,0.8072,0.1689,0.6,0.5209,0.5257,0.4696,0.4791,0.4991,0.5513,0.6615,0.433,0.7955,0.3385,0.7156,0.5718,0.9693,0.4942,0.9808,0.0307,0.9742,0.4557,0.7059,0.4473,0.8113,0.2941,0.7596,0.6024,0.7937,0.5218,0.75,0.2063,0.7757
